🇭🇰香港频道,#genre#
翡翠1,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠 3,http://php.jdshipin.com/smt.php?id=Tvbjade
翡翠 4,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠HDR,https://stream1.freetv.fun/fei-cui-14.ctv
無綫新聞,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
無綫新聞2,http://php.jdshipin.com:8880/smt.php?id=inews_twn
HOYtv 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
TVB Plus,https://stream1.freetv.fun/tvb-j2-1.m3u8
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,https://cdn.163189.xyz/live/tvbp/stream.m3u8

📺影视频道,#genre#
斗鱼老三国,https://live.iill.top/douyu/7459925
斗鱼新三国,https://live.iill.top/douyu/5908256
斗鱼狄仁杰,https://live.iill.top/douyu/12655359
狄仁杰,https://live.iill.top/douyu/6027991
猎鹰1949,https://live.iill.top/douyu/11931032
当燕双鹰遇见李元芳,https://live.iill.top/douyu/3439096
当燕双鹰遇见李元芳,https://www.goodiptv.club/douyu/3439096
粤语影视,https://live.iill.top/douyu/11878141
西游记,https://live.iill.top/douyu/3113309
西游记,http://cdn.jdshipin.com:8880/huya.php?id=30080242
庆余年,https://live.iill.top/douyu/7812810
爱情公寓,https://live.iill.top/douyu/4105989
海绵宝宝,https://live.iill.top/douyu/3949681
海绵宝宝,https://live.metshop.top/douyu/3949681
成龙历险记,https://live.iill.top/douyu/2287949
斗鱼港剧间,https://live.iill.top/douyu/4549169
老高与小茉,https://live.iill.top/douyu/236461
哆啦A梦,https://live.iill.top/huya/11601963
航海王,https://live.iill.top/huya/16913382
七龙珠,https://live.iill.top/huya/11601966
猫和老鼠,https://live.iill.top/huya/11352879
猫和老鼠,http://live.iill.top/huya.php?id=11352879
中华小当家,https://live.iill.top/huya/11342413
中华小当家,https://live.metshop.top/huya/11342413

📺央视频道,#genre#
